date,store_id,revenue,revenue_prediction,lower_bound,upper_bound
2019-01-06,S0010,3039.5099999999998,2491.578322303826,1301.5807209590441,3681.5759236486083
2019-01-13,S0010,2569.04,2536.031866806493,1320.9499238374674,3751.1138097755183
2019-01-20,S0010,2677.31,2329.8155168376898,1090.1543006787977,3569.4767329965816
2019-01-27,S0010,3346.17,2470.083351721113,1206.3028208524347,3733.8638825897915
2019-02-03,S0010,2847.41,2947.7907173032618,1664.948940042383,4230.632494564141
2019-02-10,S0010,3021.73,2475.8442169728964,1170.9247083244104,3780.7637256213825
2019-02-17,S0010,3402.44,2746.0452493426615,1419.41660850033,4072.673890184993
2019-02-24,S0010,3357.64,2602.356662319039,1254.3686321618975,3950.3446924761806
2019-03-03,S0010,3394.89,2694.247778586828,1325.233590166143,4063.2619670075137
2019-03-10,S0010,3055.32,2529.8403043411217,1140.1180447319473,3919.562563950296
2019-03-17,S0010,2947.33,2769.0220036795267,1358.8957434908532,4179.1482638682
2019-03-24,S0010,2776.54,2627.767151342103,1197.5279444684882,4058.0063582157172
2019-03-31,S0010,2665.53,2745.35484653229,1295.2816167266712,4195.428076337909
2019-04-07,S0010,2480.3,2636.4986967866353,1166.8589344916088,4106.1384590816615
2019-04-14,S0010,1882.98,2550.3209157304254,1061.3705330547464,4039.2712984061045
